"b""#Repost totalblacktv1\n\nDon't ask me to think.......I just want to entertain! #coon #cooning\xe2\x80\xa6 http://t.co/T2SQ4Nj46z""",1
b'DevOpsing so hard right now. http://t.co/Sqz1otVsDC',0
"b'RT @kylemaxwell: You call it ""full stack"" but we call it ""actually knowing how stuff works""'",0
"b'RT @ChopraTP: #GermanProfessor gives meaning to term FemiNazi.Doesn\'t hire ""Indian Men"" bcz of ""Indias\'s Rape Problem""\nhttp://t.co/zyvMzmeE\xe2\x80\xa6'",1
"b""Uh. A GamerGater doesn't like reboot. http://t.co/UGwC1ROnPu""",0
"b""@krainboltgreene but regardless, fighting with logic &amp; data just doesn't work w/some people. so why try?""",0
b'RT @EntirelyAmelia: #BlameOneNotAll gives those who think they\xe2\x80\x99re innocent a pass to be complacent in systematic oppression.',0
"b""@sigje mayyyybe. Is there a CFP? I've done some neat stuff with statsd/graphite and abuse metrics""",0
"b""@atonal440 @ralphcrafts i'm pretty entertained in that i only see half of the conversation. ;)""",0
b'con watermelon and grape soda #coon lol RT @ShBina3 I need about 50lbs of that 280 lb catfish that was caught',1
"b""@nat_com1 @Feminazi_Front Absolutely. Its a necessary inequality. Man was complaining that's its unfair. To men! Ludicrous.""",0
b'@Pheonnexx I can go to sleep after taking adderall. My ability to sleep is ridonkulous.',0
"b""Mute me if you're not OK with this.""",0
"b'#BlameOneNotAll because I wount hold all Feminists and Progressives responsible for the ""White genocide is good"" article'",0
b'RT @SwiftOnSecurity: Kids these days will never know open WiFi with everything going over HTTP. And net send. Oh my god. net send. What glo\xe2\x80\xa6',1
b'AHAHA THERE IS A PIECE OF CAKE THEY MADE OUT OF THIS DUCK TAPE',0
b'Sounds good. #killerblondes #mkr',0
b'The Corporate Oligarchs are grooming #MiaLove as their new #Coon.... I mean Coonette. http://t.co/weJhL4PrBn',1
"b""The missus loves #MKR if I have to watch five more minutes of these stuck up, idiotic, 2 bit hookers I'll neck myself. #goingtobed""",0
"b""@limbclock i wouldn't do that.""",0
"b""@lucaswj i'm disc. used to playing with a derpy warr/dk.""",0
"b""@dampscot yup, i'm aware. :)""",0
"b""@ncweaver easier with github. I don't have time to spend on being an admin""",0
b'@Ricky_Rick00 dude we were the best team ever. We made shit happen! #aggies #Coon',1
b'lol. is she still screeching about me blocking her? what a turd.',0
b'RT @typicalfeminist: #HelpEndRapeCulture instead of just excusing yourself from responsibility. #BlameOneNotAll',0
b'Man wtf is this damn #Coon ass nigga #BillyBlanks doing on that damn commercial? ? #CooneryAtItsFinest',1
b'Trying to find something pretty about these blonde idiots.#MKR',0
b'http://t.co/ZxbZV3qUj2: Drawing Long Haired Cats pt 2 http://t.co/a8rajg67Ra #cats #coon #drawing #haired #long #maine',0
b'#BlameOneNotAll is bad because I should be able to hate entire demographics of people for the bad things individuals do to me! #racismyall',1
"b""It is kind of funny how much more body confident I've gotten ever since the gaters started calling me fat. &lt;3""",0
b'@EvanPascoe @Spacekatgal @GI_AndyMc THANK YOU RANDOM INTERNET PERSON FOR INSERTING YOURSELF WHEN I SAID NO PILE-ONS.',0
b'@LaserVueEye always. :)',0
"b""I predict #dustyhotep will become the new #coon for #2015. I was called that today by people I'm sure don't know what it means. #lol""",1
"b""@AIM_FTA I DON'T KNOW WHAT THAT MEANS""",0
"b""@ashfurrow @Popehat @SatoshiKsutra @DarkTechMonitor I live in San Francisco. I don't judge.""",0
b'@Lilcruz2 you really tryna get me in trouble on twitter\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #coon',1
"b""@nite_moogle Fdsajflksa i haven't had coffee yet""",0
b'Feeling kind of fantastic after standing on a stage to tell (&amp; show) people my experiences being harassed as a vocal woman in tech.',0
"b""Someday, I'm going to drink &amp; start submitting pull requests to various FOSS projects' Makefiles to play fitting theme music during a build.""",1
"b""@ikralla @MattFossen I run on autoit in the background because of clickerheroes. That might've triggered it. Six-month ban.""",0
b'@shereeny @caulkthewagon there is. :P',0
b'Feminazi 0 - Society 1 http://t.co/QSevAoCaNd',0
"b""RT @BLACKorNOTHING_: @phvntvsmvgoriv @sundsuu Would you prefer I say Massa. Oh I don't wana speak ill of my masse da white man. #housenigga\xe2\x80\xa6""",1
b'They bred the most dangerous feminazi in our country.',0
"b""@snipeyhead @CiaranmaK Why would anyone want to hire a rockstar anything? I've seen the movies. This just leads to problems with cocaine.""",0
b'Dare I say it?\n\nHad fun hanging out with a friend from the IGDA in a non-IGDA capacity.\n\nSo very collusion. How ethics. Much wow.',0
"b""Couldn't find another job in the gaming industry after that because insulting your coworkers/former employers is just something you don't do""",0
"b'@Ethelmonster @SadSuspenders haha, how true.'",0
